University,Country,Ranking
University of Chicago,United States,1
Harvard University,United States,2
Massachusetts Institute of Technology (MIT),United States,3
Stanford University,United States,4
"University of California, Berkeley",United States,5
Columbia University,United States,6
Yale University,United States,7
Princeton University,United States,8
London School of Economics and Political Science,United Kingdom,9
New York University,United States,10
Northwestern University,United States,11
"University of California, Los Angeles",United States,12
University of Oxford,United Kingdom,13
"University of California, San Diego",United States,14
University of Pennsylvania,United States,15
Toulouse Capitole University,France,16
University of Cambridge,United Kingdom,17
Washington University in St. Louis,United States,18
University of Toronto,Canada,19
Boston University,United States,20
Duke University,United States,21
"University of Minnesota, Twin Cities",United States,22
National University of Singapore,Singapore,23
University College London,United Kingdom,24
Arizona State University,United States,25
"University of Maryland, College Park",United States,26
University of Zurich,Switzerland,27
Brown University,United States,28
Cornell University,United States,29
University of Michigan-Ann Arbor,United States,30
"University of California, Davis",United States,31
Bocconi University,Italy,32
Peking University,China,33
University of Wisconsin - Madison,United States,34
The Australian National University,Australia,35
Dartmouth College,United States,36
The University of Texas at Austin,United States,37
Indiana University Bloomington,United States,38
"University of California, Santa Barbara",United States,39
University of Warwick,United Kingdom,40
University of Bonn,Germany,41
Monash University,Australia,42
University of Southern California,United States,43
The University of Melbourne,Australia,44
Boston College,United States,45
Pompeu Fabra University,Spain,46
London Business School,United Kingdom,47
University of British Columbia,Canada,48
Erasmus University Rotterdam,Netherlands,49
Queen Mary University of London,United Kingdom,50
Aarhus University,Denmark,51-75
Carnegie Mellon University,United States,51-75
ETH Zurich,Switzerland,51-75
Fudan University,China,51-75
George Mason University,United States,51-75
Georgetown University,United States,51-75
Imperial College London,United Kingdom,51-75
KU Leuven,Belgium,51-75
Pennsylvania State University - University Park,United States,51-75
The Hebrew University of Jerusalem,Israel,51-75
The Ohio State University - Columbus,United States,51-75
The University of Hong Kong,"Hong Kong, China",51-75
The University of Manchester,United Kingdom,51-75
The University of Tokyo,Japan,51-75
Tilburg University,Netherlands,51-75
Tsinghua University,China,51-75
University of Essex,United Kingdom,51-75
University of Groningen,Netherlands,51-75
University of Illinois at Urbana-Champaign,United States,51-75
University of Sussex,United Kingdom,51-75
University of Sydney,Australia,51-75
University of Washington,United States,51-75
Utrecht University,Netherlands,51-75
Vrije Universiteit Amsterdam,Netherlands,51-75
Xiamen University,China,51-75
Catholic University of the Sacred Heart,Italy,76-100
Copenhagen Business School,Denmark,76-100
European University Institute,Italy,76-100
Johns Hopkins University,United States,76-100
Michigan State University,United States,76-100
Paris Institute of Political Studies,France,76-100
Paris School of Economics,France,76-100
Purdue University - West Lafayette,United States,76-100
Renmin University of China,China,76-100
Southwestern University of Finance and Economics,China,76-100
Stockholm University,Sweden,76-100
The Chinese University of Hong Kong,"Hong Kong, China",76-100
The George Washington University,United States,76-100
University of Amsterdam,Netherlands,76-100
University of Birmingham,United Kingdom,76-100
University of Bristol,United Kingdom,76-100
"University of California, Irvine",United States,76-100
University of Copenhagen,Denmark,76-100
University of Goettingen,Germany,76-100
University of International Business and Economics,China,76-100
University of Leeds,United Kingdom,76-100
University of Munich,Germany,76-100
University of North Carolina at Chapel Hill,United States,76-100
University of York,United Kingdom,76-100
Vienna University of Economics and Business,Austria,76-100
Beihang University,China,101-150
Catholic University of Louvain,Belgium,101-150
Central University of Finance and Economics,China,101-150
"City, University of London",United Kingdom,101-150
Emory University,United States,101-150
Goethe University Frankfurt,Germany,101-150
Griffith University,Australia,101-150
HEC Paris,France,101-150
Heidelberg University,Germany,101-150
King's College London,United Kingdom,101-150
Lancaster University,United Kingdom,101-150
Luiss Guido Carli,Italy,101-150
Lund University,Sweden,101-150
Maastricht University,Netherlands,101-150
National Taiwan University,"Taiwan, China",101-150
Rice University,United States,101-150
Seoul National University,South Korea,101-150
Shanghai Jiao Tong University,China,101-150
Shanghai University of Finance and Economics,China,101-150
Singapore Management University,Singapore,101-150
Stockholm School of Economics,Sweden,101-150
Sunway University,Malaysia,101-150
Texas A&M University,United States,101-150
The Hong Kong Polytechnic University,"Hong Kong, China",101-150
The Hong Kong University of Science and Technology,"Hong Kong, China",101-150
The University of Edinburgh,United Kingdom,101-150
The University of Georgia,United States,101-150
The University of Glasgow,United Kingdom,101-150
The University of New South Wales,Australia,101-150
The University of Queensland,Australia,101-150
University College Dublin,Ireland,101-150
University of Bologna,Italy,101-150
University of Exeter,United Kingdom,101-150
University of Florida,United States,101-150
University of Geneva,Switzerland,101-150
University of Kentucky,United States,101-150
University of Lisbon,Portugal,101-150
University of Montreal,Canada,101-150
University of Notre Dame,United States,101-150
University of Nottingham,United Kingdom,101-150
University of Ottawa,Canada,101-150
