University,Country,Ranking
Harvard University,United States,1
University of Toronto,Canada,2
The University of Texas at Austin,United States,3
The Ohio State University - Columbus,United States,4
Princeton University,United States,5
University of Oxford,United Kingdom,6
University of Wisconsin - Madison,United States,7
Stanford University,United States,8
New York University,United States,9
University of Amsterdam,Netherlands,10
The University of Manchester,United Kingdom,11
Northwestern University,United States,12
Pennsylvania State University - University Park,United States,12
University of Michigan-Ann Arbor,United States,14
University of Copenhagen,Denmark,15
Indiana University Bloomington,United States,16
University of Surrey,United Kingdom,17
Cornell University,United States,18
Columbia University,United States,19
Duke University,United States,20
University College London,United Kingdom,21
Brown University,United States,22
University of Washington,United States,23
"University of California, Los Angeles",United States,24
"University of California, Berkeley",United States,25
London School of Economics and Political Science,United Kingdom,26
The University of Sheffield,United Kingdom,27
University of Chicago,United States,28
Monash University,Australia,29
University of Oslo,Norway,30
The University of Edinburgh,United Kingdom,31
University of Groningen,Netherlands,32
University of North Carolina at Chapel Hill,United States,33
Yale University,United States,34
University of Pennsylvania,United States,35
"Rutgers, The State University of New Jersey - New Brunswick",United States,36
University of Southern California,United States,37
Boston University,United States,38
University of Sussex,United Kingdom,39
Utrecht University,Netherlands,40
The University of Queensland,Australia,41
University of Nottingham,United Kingdom,42
Loughborough University,United Kingdom,43
Stockholm University,Sweden,44
Durham University,United Kingdom,45
Vanderbilt University,United States,45
"University of California, Davis",United States,47
Cardiff University,United Kingdom,48
University of Warwick,United Kingdom,49
King's College London,United Kingdom,50
Aarhus University,Denmark,51-75
European University Institute,Italy,51-75
Florida State University,United States,51-75
Goldsmiths' College,United Kingdom,51-75
Linkoping University,Sweden,51-75
Newcastle University,United Kingdom,51-75
Oklahoma State University,United States,51-75
Tampere University,Finland,51-75
The University of Hong Kong,"Hong Kong, China",51-75
The University of Melbourne,Australia,51-75
University of Alberta,Canada,51-75
University of Birmingham,United Kingdom,51-75
University of Bristol,United Kingdom,51-75
University of British Columbia,Canada,51-75
"University of California, Irvine",United States,51-75
University of Cologne,Germany,51-75
University of Essex,United Kingdom,51-75
University of Helsinki,Finland,51-75
University of Leeds,United Kingdom,51-75
"University of Maryland, College Park",United States,51-75
"University of Minnesota, Twin Cities",United States,51-75
University of North Carolina at Charlotte,United States,51-75
University of Tennessee - Knoxville,United States,51-75
University of York,United Kingdom,51-75
Washington University in St. Louis,United States,51-75
Bocconi University,Italy,76-100
Brigham Young University,United States,76-100
Copenhagen Business School,Denmark,76-100
Goethe University Frankfurt,Germany,76-100
Humboldt University of Berlin,Germany,76-100
KU Leuven,Belgium,76-100
Lancaster University,United Kingdom,76-100
Michigan State University,United States,76-100
Purdue University - West Lafayette,United States,76-100
The Hong Kong Polytechnic University,"Hong Kong, China",76-100
University of Arizona,United States,76-100
University of Bamberg,Germany,76-100
"University of California, Santa Barbara",United States,76-100
University of Cambridge,United Kingdom,76-100
University of Connecticut,United States,76-100
University of Exeter,United Kingdom,76-100
University of Illinois at Urbana-Champaign,United States,76-100
University of Liverpool,United Kingdom,76-100
University of Massachusetts Amherst,United States,76-100
University of Milan,Italy,76-100
University of Notre Dame,United States,76-100
University of Southampton,United Kingdom,76-100
University of Sydney,Australia,76-100
Uppsala University,Sweden,76-100
York University,Canada,76-100
Baylor University,United States,101-150
Bielefeld University,Germany,101-150
Boston College,United States,101-150
Bowling Green State University,United States,101-150
Deakin University,Australia,101-150
Emory University,United States,101-150
Erasmus University Rotterdam,Netherlands,101-150
ETH Zurich,Switzerland,101-150
Free University Berlin,Germany,101-150
Griffith University,Australia,101-150
Iowa State University,United States,101-150
Johns Hopkins University,United States,101-150
Manchester Metropolitan University,United Kingdom,101-150
Massachusetts Institute of Technology (MIT),United States,101-150
McGill University,Canada,101-150
Memorial University of Newfoundland,Canada,101-150
National University of Distance Education,Spain,101-150
National University of Singapore,Singapore,101-150
Northeastern University (Boston),United States,101-150
Oslo Metropolitan University,Norway,101-150
Paris Institute of Political Studies,France,101-150
Peking University,China,101-150
Radboud University Nijmegen,Netherlands,101-150
Tel Aviv University,Israel,101-150
The Chinese University of Hong Kong,"Hong Kong, China",101-150
The University of Glasgow,United Kingdom,101-150
The University of New South Wales,Australia,101-150
Tilburg University,Netherlands,101-150
University at Albany (State University of New York),United States,101-150
University of Bath,United Kingdom,101-150
"University of California, Riverside",United States,101-150
University of Cincinnati,United States,101-150
University of Florida,United States,101-150
University of Haifa,Israel,101-150
University of Illinois at Chicago,United States,101-150
University of Iowa,United States,101-150
University of Kent,United Kingdom,101-150
University of Kentucky,United States,101-150
University of Lausanne,Switzerland,101-150
University of Leicester,United Kingdom,101-150
University of Lincoln,United Kingdom,101-150
University of Mannheim,Germany,101-150
University of Oklahoma - Norman,United States,101-150
University of Trento,Italy,101-150
University of Utah,United States,101-150
University of Waterloo,Canada,101-150
University of Zurich,Switzerland,101-150
Virginia Polytechnic Institute and State University,United States,101-150
Wageningen University & Research,Netherlands,101-150
Wayne State University,United States,101-150
Autonomous University of Barcelona,Spain,151-200
"City, University of London",United Kingdom,151-200
Clemson University,United States,151-200
Colorado State University,United States,151-200
Coventry University,United Kingdom,151-200
Georgetown University,United States,151-200
HSE University,Russia,151-200
North Carolina State University - Raleigh,United States,151-200
Rice University,United States,151-200
"Royal Holloway, University of London",United Kingdom,151-200
Scuola Normale Superiore - Pisa,Italy,151-200
Stony Brook University,United States,151-200
Sun Yat-sen University,China,151-200
The Australian National University,Australia,151-200
The Open University,United Kingdom,151-200
The University of Calgary,Canada,151-200
The University of Texas at San Antonio,United States,151-200
Trinity College Dublin,Ireland,151-200
Tulane University,United States,151-200
"University at Buffalo, the State University of New York",United States,151-200
University of Bergen,Norway,151-200
University of Bologna,Italy,151-200
University of Brighton,United Kingdom,151-200
"University of California, San Diego",United States,151-200
"University of California, San Francisco",United States,151-200
University of California-Merced,United States,151-200
University of Central Florida,United States,151-200
University of Colorado at Boulder,United States,151-200
University of Huddersfield,United Kingdom,151-200
University of Johannesburg,South Africa,151-200
University of Kansas,United States,151-200
University of Konstanz,Germany,151-200
University of Leipzig,Germany,151-200
University of Macau,"Macau, China",151-200
University of Munich,Germany,151-200
University of Oregon,United States,151-200
University of South Carolina - Columbia,United States,151-200
University of South Florida,United States,151-200
University of St Andrews,United Kingdom,151-200
University of Stavanger,Norway,151-200
University of Strathclyde,United Kingdom,151-200
University of Tasmania,Australia,151-200
University of Virginia,United States,151-200
University of Westminster,United Kingdom,151-200
Utah State University,United States,151-200
Vrije Universiteit Amsterdam,Netherlands,151-200
Vrije Universiteit Brussel (VUB),Belgium,151-200
West Virginia University,United States,151-200
Western University,Canada,151-200
Zhejiang University,China,151-200
